@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBWV.4L3.B2"                       0                  0                  0                  0
 "MCBWH.5L3.B2"                       0                  0                  0                  0
 "MCBCV.6L3.B2"                       0                  0                  0                  0
 "MCBCH.7L3.B2"          1.15658727e-06                  0     1.15658727e-06                  0
 "MCBCV.8L3.B2"                       0                  0                  0                  0
 "MCBCH.9L3.B2"        -2.994370181e-06                  0   -4.485656274e-06                  0
 "MCBCV.10L3.B2"                      0                  0                  0                  0
 "MCBH.11L3.B2"        -1.528114267e-05                  0   -1.528114267e-05                  0
 "MCBV.12L3.B2"                       0                  0                  0                  0
 "MCBH.13L3.B2"                       0                  0     2.60144996e-07                  0
 "MCBV.14L3.B2"                       0                  0                  0                  0
 "MCBH.15L3.B2"         7.316162344e-06                  0    7.316162344e-06                  0
 "MCBV.16L3.B2"                       0                  0                  0                  0
 "MCBH.17L3.B2"        -3.810696537e-06                  0   -3.810696537e-06                  0
 "MCBV.18L3.B2"                       0                  0                  0                  0
 "MCBH.19L3.B2"          5.30302804e-06                  0     5.30302804e-06                  0
 "MCBV.20L3.B2"                       0                  0                  0                  0
 "MCBH.21L3.B2"         -1.39159821e-05                  0    -1.39159821e-05                  0
 "MCBV.22L3.B2"                       0                  0                  0                  0
 "MCBH.23L3.B2"        -6.171366666e-06                  0   -6.171366666e-06                  0
 "MCBV.24L3.B2"                       0                  0                  0                  0
 "MCBH.25L3.B2"        -9.125225246e-06                  0   -9.125225246e-06                  0
 "MCBV.26L3.B2"                       0                  0                  0                  0
 "MCBH.27L3.B2"        -9.145807475e-06                  0   -9.145807475e-06                  0
 "MCBV.28L3.B2"                       0                  0                  0                  0
 "MCBH.29L3.B2"        -8.717347635e-06                  0   -8.717347635e-06                  0
 "MCBV.30L3.B2"                       0                  0                  0                  0
 "MCBH.31L3.B2"        -8.147917688e-06                  0   -8.147917688e-06                  0
 "MCBV.32L3.B2"                       0                  0                  0                  0
 "MCBH.33L3.B2"                       0                  0                  0                  0
 "MCBV.34L3.B2"                       0                  0                  0                  0
 "MCBH.33R2.B2"          1.60564424e-06                  0     1.60564424e-06                  0
 "MCBV.32R2.B2"                       0                  0                  0                  0
 "MCBH.31R2.B2"        -1.328177191e-05                  0   -1.328177191e-05                  0
 "MCBV.30R2.B2"                       0                  0                  0                  0
 "MCBH.29R2.B2"        -3.894871334e-06                  0   -3.894871334e-06                  0
 "MCBV.28R2.B2"                       0                  0                  0                  0
 "MCBH.27R2.B2"                       0                  0                  0                  0
 "MCBV.26R2.B2"                       0                  0                  0                  0
 "MCBH.25R2.B2"                       0                  0                  0                  0
 "MCBV.24R2.B2"                       0                  0                  0                  0
 "MCBH.23R2.B2"        -1.171337534e-05                  0   -1.171337534e-05                  0
 "MCBV.22R2.B2"                       0                  0                  0                  0
 "MCBH.21R2.B2"                       0                  0                  0                  0
 "MCBV.20R2.B2"                       0                  0                  0                  0
 "MCBH.19R2.B2"        -1.422963478e-05                  0   -1.422963478e-05                  0
 "MCBV.18R2.B2"                       0                  0                  0                  0
 "MCBH.17R2.B2"                       0                  0                  0                  0
 "MCBV.16R2.B2"                       0                  0                  0                  0
 "MCBH.15R2.B2"                       0                  0                  0                  0
 "MCBV.14R2.B2"                       0                  0                  0                  0
 "MCBH.13R2.B2"         2.209371421e-05                  0    2.209371421e-05                  0
 "MCBV.12R2.B2"                       0                  0                  0                  0
 "MCBH.11R2.B2"                       0                  0                  0                  0
 "MCBCV.10R2.B2"                      0                  0                  0                  0
 "MCBCH.9R2.B2"                       0                  0                  0                  0
 "MCBCV.8R2.B2"                       0                  0                  0                  0
 "MCBCH.7R2.B2"         8.130783681e-07                  0    8.130783681e-07                  0
 "MCBCV.6R2.B2"                       0                  0                  0                  0
 "MCBCH.B5R2.B2"                      0                  0                  0                  0
 "MCBCV.5R2.B2"                       0                  0                  0                  0
 "MCBCH.A5R2.B2"                      0                  0                  0                  0
 "MCBYV.B4R2.B2"                      0                  0                  0                  0
 "MCBYH.4R2.B2"                       0                  0                  0                  0
 "MCBYV.A4R2.B2"                      0                  0                  0                  0
 "MCBXV.3R2"                          0                  0                  0                  0
 "MCBXH.3R2"                          0                  0                  0                  0
 "MCBXV.2R2"                          0                  0                  0                  0
 "MCBXH.2R2"                          0                  0                  0                  0
 "MCBXV.1R2"                          0                  0                  0                  0
 "MCBXH.1R2"                          0                  0                  0                  0
 "MBXWT.1R2"                          0                  0                  0                  0
 "MBAW.1R2"                           0                  0                  0                  0
 "MBWMD.1L2"                          0                  0                  0                  0
 "MBXWT.1L2"                          0                  0                  0                  0
 "MCBXV.1L2"                          0                  0                  0                  0
 "MCBXH.1L2"                          0                  0                  0                  0
 "MCBXV.2L2"                          0                  0                  0                  0
 "MCBXH.2L2"                          0                  0                  0                  0
