@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %08s "no-title"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "10/04/15"
@ TIME             %08s "10.48.50"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBWV.4L3.B2"                       0                  0                  0                  0
 "MCBWH.5L3.B2"                       0                  0                  0                  0
 "MCBCV.6L3.B2"                       0                  0                  0                  0
 "MCBCH.7L3.B2"                       0                  0                  0                  0
 "MCBCV.8L3.B2"                       0   -2.218945592e-07                  0   -2.218945592e-07
 "MCBCH.9L3.B2"                       0                  0                  0                  0
 "MCBCV.10L3.B2"                      0    5.464049056e-06                  0    5.464049056e-06
 "MCBH.11L3.B2"                       0                  0                  0                  0
 "MCBV.12L3.B2"                       0    1.823778823e-05                  0    1.823778823e-05
 "MCBH.13L3.B2"                       0                  0                  0                  0
 "MCBV.14L3.B2"                       0    1.107511669e-05                  0    1.107511669e-05
 "MCBH.15L3.B2"                       0                  0                  0                  0
 "MCBV.16L3.B2"                       0     9.23867221e-06                  0     9.23867221e-06
 "MCBH.17L3.B2"                       0                  0                  0                  0
 "MCBV.18L3.B2"                       0    1.597774588e-05                  0    1.597774588e-05
 "MCBH.19L3.B2"                       0                  0                  0                  0
 "MCBV.20L3.B2"                       0    6.769369356e-06                  0    6.769369356e-06
 "MCBH.21L3.B2"                       0                  0                  0                  0
 "MCBV.22L3.B2"                       0    8.787480183e-06                  0    8.787480183e-06
 "MCBH.23L3.B2"                       0                  0                  0                  0
 "MCBV.24L3.B2"                       0    5.125477444e-06                  0    5.125477444e-06
 "MCBH.25L3.B2"                       0                  0                  0                  0
 "MCBV.26L3.B2"                       0                  0                  0                  0
 "MCBH.27L3.B2"                       0                  0                  0                  0
 "MCBV.28L3.B2"                       0    3.145035123e-06                  0    3.145035123e-06
 "MCBH.29L3.B2"                       0                  0                  0                  0
 "MCBV.30L3.B2"                       0    1.352677587e-06                  0    1.352677587e-06
 "MCBH.31L3.B2"                       0                  0                  0                  0
 "MCBV.32L3.B2"                       0                  0                  0                  0
 "MCBH.33L3.B2"                       0                  0                  0                  0
 "MCBV.34L3.B2"                       0                  0                  0                  0
 "MCBH.33R2.B2"                       0                  0                  0                  0
 "MCBV.32R2.B2"                       0    5.640876479e-06                  0    5.640876479e-06
 "MCBH.31R2.B2"                       0                  0                  0                  0
 "MCBV.30R2.B2"                       0     1.54227186e-05                  0     1.54227186e-05
 "MCBH.29R2.B2"                       0                  0                  0                  0
 "MCBV.28R2.B2"                       0    1.666650968e-05                  0    1.666650968e-05
 "MCBH.27R2.B2"                       0                  0                  0                  0
 "MCBV.26R2.B2"                       0    2.625614963e-05                  0    2.625614963e-05
 "MCBH.25R2.B2"                       0                  0                  0                  0
 "MCBV.24R2.B2"                       0                  0                  0                  0
 "MCBH.23R2.B2"                       0                  0                  0                  0
 "MCBV.22R2.B2"                       0    7.596727461e-06                  0    7.596727461e-06
 "MCBH.21R2.B2"                       0                  0                  0                  0
 "MCBV.20R2.B2"                       0    -7.48984376e-06                  0    -7.48984376e-06
 "MCBH.19R2.B2"                       0                  0                  0                  0
 "MCBV.18R2.B2"                       0   -6.638715509e-06                  0   -6.638715509e-06
 "MCBH.17R2.B2"                       0                  0                  0                  0
 "MCBV.16R2.B2"                       0   -7.064414676e-06                  0   -7.064414676e-06
 "MCBH.15R2.B2"                       0                  0                  0                  0
 "MCBV.14R2.B2"                       0                  0                  0                  0
 "MCBH.13R2.B2"                       0                  0                  0                  0
 "MCBV.12R2.B2"                       0                  0                  0                  0
 "MCBH.11R2.B2"                       0                  0                  0                  0
 "MCBCV.10R2.B2"                      0    3.675167682e-06                  0    3.675167682e-06
 "MCBCH.9R2.B2"                       0                  0                  0                  0
 "MCBCV.8R2.B2"                       0                  0                  0                  0
 "MCBCH.7R2.B2"                       0                  0                  0                  0
 "MCBCV.6R2.B2"                       0                  0                  0                  0
 "MCBCH.B5R2.B2"                      0                  0                  0                  0
 "MCBCV.5R2.B2"                       0                  0                  0                  0
 "MCBCH.A5R2.B2"                      0                  0                  0                  0
 "MCBYV.B4R2.B2"                      0                  0                  0                  0
 "MCBYH.4R2.B2"                       0                  0                  0                  0
 "MCBYV.A4R2.B2"                      0                  0                  0                  0
 "MCBXV.3R2"                          0                  0                  0                  0
 "MCBXH.3R2"                          0                  0                  0                  0
 "MCBXV.2R2"                          0                  0                  0                  0
 "MCBXH.2R2"                          0                  0                  0                  0
 "MCBXV.1R2"                          0                  0                  0                  0
 "MCBXH.1R2"                          0                  0                  0                  0
 "MBXWT.1R2"                          0                  0                  0                  0
 "MBAW.1R2"                           0                  0                  0                  0
 "MBWMD.1L2"                          0                  0                  0                  0
 "MBXWT.1L2"                          0                  0                  0                  0
 "MCBXV.1L2"                          0                  0                  0                  0
 "MCBXH.1L2"                          0                  0                  0                  0
 "MCBXV.2L2"                          0                  0                  0                  0
 "MCBXH.2L2"                          0                  0                  0                  0
